ID,ACTIVE_LABEL,SMILES,SOL_CD73_INHIB_PERCENT_5uM,SOL_CD73_INHIB_PERCENT_5uM_SD,CELL_CD_73_INHIB_PERCENT_100uM,CELL_CD_73_INHIB_PERCENT_100uM_SD,KI_uM,KI_uM_SD,NOTE
4bh_Grossjean_2025,False,O=C(NCC1=CC(OC)=C(OC)C(OC)=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,22,11,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4bi_Grossjean_2025,False,O=C(NC1=NOC=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,-18,7,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4bj_Grossjean_2025,False,O=C(NC1=NC=CS1)C2=C(N)C3=C(C(F)(F)F)C=C(C)N=C3S2,NA,NA,9,6,NA,NA,Undetermined recombinant inhibition; solubility
4bk_Grossjean_2025,False,O=C(C1=C(C2=C(C=C(N=C2S1)C)C(F)(F)F)N)NCCOCCOCCOC,11,8,3,3,NA,NA,NA
4dd_Grossjean_2025,False,O=C(NC1=CC=CC=C1)C2=C(N)C3=C(C)C=C(C4=CC=CC=C4)N=C3S2,3,9,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4dg_Grossjean_2025,False,O=C(NCC1=CC=CC=C1)C2=C(N)C3=C(C)C=C(C4=CC=CC=C4)N=C3S2,4,5,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4dj_Grossjean_2025,False,O=C(NC1=NC=CS1)C2=C(N)C3=C(C)C=C(C4=CC=CC=C4)N=C3S2,NA,NA,8,3,NA,NA,Undetermined recombinant inhibition; solubility
4ea_Grossjean_2025,False,O=C(NC1=CC=C(C(OCC)=O)C=C1)C2=C(N)C3=C(C4=CC=CC=C4)C=C(C)N=C3S2,-21,11,32,5,NA,NA,NA
4eb_Grossjean_2025,False,O=C(NC1=CC=C(C(OC)=O)C=C1)C2=C(N)C3=C(C4=CC=CC=C4)C=C(C)N=C3S2,-20,12,25,10,NA,NA,NA
4ca_Grossjean_2025,True,O=C(NC1=CC=C(C(OCC)=O)C=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C4=CC=CC=C4)N=C3S2,92,2,24,1,NA,NA,NA
4cb_Grossjean_2025,True,O=C(NC1=CC=C(C(OC)=O)C=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C4=CC=CC=C4)N=C3S2,94,3,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4cc_Grossjean_2025,True,O=C(NC1=CC=C(OC)C=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C4=CC=CC=C4)N=C3S2,92,6,NA,NA,NA,NA,Undetermined cell inhibition; solubility
4cd_Grossjean_2025,False,O=C(NC1=CC=CC=C1)C2=C(N)C3=C(C(F)(F)F)C=C(C4=CC=CC=C4)N=C3S2,10,9,NA,NA,NA,NA,Undetermined cell inhibition; solubility
